Society,Card Title,Carpet Area,Price,Price Per Sqft,Floor
,"2 BHK Apartment for Sale in Pimpri Chinchwad New Township Development Authority, Bhosari Pune",950 sqft,₹1.10 Cr,"₹9,402 per sqft",11 out of 12
Bhikansheth Park,"2 BHK Apartment for Sale in Bhikansheth Park, Dapodi, Pimpri Chinchwad Pune",625 sqft,₹50 Lac,"₹6,667 per sqft",1 out of 3
,2 BHK Apartment for Sale in Talegaon Dabhade Pune,,₹36 Lac,"₹4,337 per sqft",6 out of 7
,1 BHK Apartment for Sale in Talegaon Dabhade Pune,,₹22 Lac,"₹3,667 per sqft",5 out of 7
,1 BHK Apartment for Sale in Lohegaon Pune,,₹32 Lac,"₹6,882 per sqft",1 out of 2
,1 BHK Apartment for Sale in Swami Vivekanand Nagar Pune,,₹32.2 Lac,"₹3,500 per sqft",3 out of 4
Ace Aastha,"1 BHK Apartment for Sale in Ace Aastha, Charholi BK Pune",300 sqm,₹31 Lac,"₹7,381 per sqft",2 out of 12
Nilesh K A,"4 BHK Apartment for Sale in Nilesh K A, Kothrud Pune",1925 sqft,₹3.87 Cr,"₹16,346 per sqft",13 out of 15
Akshay Apartment,"1 BHK Apartment for Sale in Akshay Apartment, Shukrawar Peth Pune",,₹46 Lac,"₹8,487 per sqft",1 out of 7
Dwarka City,"2 BHK Apartment for Sale in Dwarka City, Chakan Pune",,₹41.5 Lac,"₹4,439 per sqft",8 out of 12
,1 BHK Apartment for Sale in Chakan Pune,,₹27.9 Lac,"₹5,000 per sqft",4 out of 6
,1 BHK Builder Floor for Sale in Narhe Pune,,₹32 Lac,"₹4,558 per sqft",5 out of 6
,2 BHK Builder Floor for Sale in Talegaon Dabhade Pune,,₹32 Lac,"₹3,238 per sqft",3 out of 4
,2 BHK Apartment for Sale in Mangalya Sadan Pune,736 sqft,₹1.50 Cr,"₹14,563 per sqft",3 out of 4
Soham Riveria,"3 BHK Apartment for Sale in Soham Riveria, Sun City, Anand Nagar Pune",995 sqft,₹1.35 Cr,"₹10,433 per sqft",4 out of 7
Dreams Ayana,"2 BHK Apartment for Sale in Dreams Ayana, Talegaon Dabhade Pune",,₹32 Lac,"₹4,923 per sqft",3 out of 4
Samarthshree Riverine Greens,"3 BHK Apartment for Sale in Samarthshree Riverine Greens, Pashan Pune",1000 sqft,₹1.50 Cr,"₹10,714 per sqft",7 out of 10
,2 BHK Apartment for Sale in Mundhwa Pune,,₹61 Lac,"₹9,753 per sqft",2 out of 5
Somani Residency,"1 BHK Apartment for Sale in Somani Residency, Punawale, Pimpri Chinchwad Pune",288 sqft,₹31.2 Lac,,8 out of 8
Nyati Eternity,"1 BHK Apartment for Sale in Nyati Eternity, NIBM Road Pune",500 sqft,₹38 Lac,"₹5,515 per sqft",3 out of 12
Hill Mist Harmony,"1 BHK Apartment for Sale in Hill Mist Harmony, NIBM Road Pune",,₹45 Lac,"₹8,654 per sqft",5 out of 5
Marvel Ritz,"5 BHK Apartment for Sale in Marvel Ritz, Hadapsar Pune",,₹3.30 Cr,"₹8,627 per sqft",6 out of 11
Gera World of Joy,"4 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1650 sqft,₹2 Cr,,12 out of 33
Jayant Krishna Residency,"2 BHK Apartment for Sale in Jayant Krishna Residency, Baner Road Pune",,₹78.5 Lac,"₹9,556 per sqft",3 out of 7
Leisure Town,"2 BHK Apartment for Sale in Leisure Town, Hadapsar Pune",730 sqft,₹80 Lac,"₹8,000 per sqft",4 out of 12
Pinnac Gangotri,"2 BHK Apartment for Sale in Pinnac Gangotri, Aundh Pune",800 sqft,₹95 Lac,"₹9,694 per sqft",5 out of 7
Marvel Imperial,"4 BHK Apartment for Sale in Marvel Imperial, Boat Club Road Pune",,₹6 Cr,"₹14,634 per sqft",5 out of 11
Raj Vimal Terraces Bawdhan,"2 BHK Apartment for Sale in Raj Vimal Terraces Bawdhan, Bavdhan Pune",950 sqft,₹75 Lac,"₹6,250 per sqft",4 out of 5
,3 BHK Apartment for Sale in Kothrud Pune,1900 sqft,₹3.85 Cr,"₹13,750 per sqft",2 out of 4
Ganga Amber,"2 BHK Apartment for Sale in Ganga Amber, Tathawade Pimpri Chinchwad Pune",636 sqft,₹75 Lac,"₹10,013 per sqft",11 out of 12
Sairaj Durga Terrace,"2 BHK Apartment for Sale in Sairaj Durga Terrace, Talegaon Dabhade Pune",695 sqft,₹35 Lac,"₹4,587 per sqft",3 out of 4
Shriniwas Serene County,"2 BHK Apartment for Sale in Shriniwas Serene County, Wadgaon BK Pune",504 sqft,₹45 Lac,"₹7,924 per sqft",1 out of 6
Park Street,"2 BHK Apartment for Sale in Park Street, Wakad Pune",1200 sqft,₹1.60 Cr,"₹9,143 per sqft",1 out of 12
Sun Exotica,"2 BHK Apartment for Sale in Sun Exotica, Yewalewadi, Katraj Pune",750 sqft,₹52 Lac,"₹6,161 per sqft",4 out of 11
,1 BHK Apartment for Sale in Ambegaon BK Pune,600 sqft,₹40 Lac,"₹5,263 per sqft",5 out of 5
Anika Piccadilly,"2 BHK Apartment for Sale in Anika Piccadilly, Punawale, Pimpri Chinchwad Pune",783 sqft,₹68 Lac,"₹6,433 per sqft",14 out of 22
,1 BHK Apartment for Sale in Sadashiv Peth Pune,420 sqft,₹65 Lac,,2 out of 4
,1 BHK Apartment for Sale in Sai Nagar Lohegaon Pune,481 sqft,₹27 Lac,"₹4,154 per sqft",1 out of 4
Forest County,"3 BHK Apartment for Sale in Forest County, Kharadi Pune",1550 sqft,₹2.50 Cr,"₹13,477 per sqft",7 out of 12
Amanora Gold Towers,"2 BHK Apartment for Sale in Amanora Gold Towers, Amanora Park Town Pune",720 sqft,₹93 Lac,"₹9,300 per sqft",33 out of 33
Aishwaryam Hamara,"2 BHK Apartment for Sale in Aishwaryam Hamara, Chikhali Pimpri Chinchwad Pune",520 sqft,₹40 Lac,"₹5,333 per sqft",4 out of 12
Clover Village Villa,"2 BHK Apartment for Sale in Clover Village Villa, Clover Village, Wanawari Pune",1100 sqft,₹1.05 Cr,"₹7,778 per sqft",4 out of 8
Kolte-Patil Green Acre,"2 BHK Apartment for Sale in Kolte-Patil Green Acre, Salunkhe Vihar Society Pune",1100 sqft,₹1.15 Cr,"₹8,915 per sqft",3 out of 7
Trimurti,"2 BHK Apartment for Sale in Trimurti , Katraj Pune",750 sqft,₹70 Lac,"₹7,368 per sqft",2 out of 3
Bhoomi Residency,"1 BHK Apartment for Sale in Bhoomi Residency, Ambegaon Pune",450 sqft,₹33 Lac,"₹6,000 per sqft",1 out of 5
Daffodils Avenue,"1 BHK Apartment for Sale in Daffodils Avenue, Somatne Phata Pune",447 sqft,₹25 Lac,"₹3,765 per sqft",Ground out of 12
,4 BHK Apartment for Sale in Prabhat Road Pune,2441 sqft,₹5.60 Cr,"₹16,995 per sqft",13 out of 13
Vanshaj Kiona,"3 BHK Apartment for Sale in Vanshaj Kiona, Laxmi Nagar Balewadi Pune",1200 sqft,₹1.05 Cr,"₹7,000 per sqft",9 out of 9
Sai Laxmi Galaxy,"2 BHK Apartment for Sale in Sai Laxmi Galaxy, Vishrantwadi, Airport Road Pune",876 sqft,₹70 Lac,"₹7,991 per sqft",4 out of 5
Green Hive,"1 BHK Apartment for Sale in Green Hive, Fursungi Pune",480 sqft,₹30.6 Lac,"₹5,354 per sqft",7 out of 9
,"1 BHK Apartment for Sale in Sunshine Villas, Pimpri Chinchwad Pune",550 sqft,₹49 Lac,"₹7,538 per sqft",1 out of 6
,1 BHK Apartment for Sale in Moshi Pune,615 sqft,₹30 Lac,"₹5,671 per sqft",7 out of 7
,2 BHK Apartment for Sale in Baner Pune,980 sqft,₹98 Lac,"₹9,202 per sqft",6 out of 11
,1 BHK Apartment for Sale in Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune,450 sqft,₹45 Lac,"₹9,677 per sqft",1 out of 22
Happiness Hub,"2 BHK Apartment for Sale in Happiness Hub, Varve Bk Pune",,₹36.8 Lac,"₹6,400 per sqft",10 out of 20
,"2 BHK Apartment for Sale in Pimple Gurav, Pimpri Chinchwad Pune",740 sqft,₹62 Lac,"₹6,596 per sqft",2 out of 3
,"3 BHK Apartment for Sale in Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi Pune",1250 sqft,₹1.27 Cr,"₹7,000 per sqft",1 out of 17
Gulmohar Orchids,"2 BHK Apartment for Sale in Gulmohar Orchids, Kharadi Pune",930 sqft,₹1.02 Cr,"₹7,556 per sqft",7 out of 9
Raheja Vista Premiere,"2 BHK Apartment for Sale in Raheja Vista Premiere, NIBM Annexe Area Pune",1050 sqft,₹1.16 Cr,"₹8,593 per sqft",12 out of 18
Krishna Amorapolis,"3 BHK Apartment for Sale in Krishna Amorapolis, Dhanori Pune",1021 sqft,₹75 Lac,"₹5,439 per sqft",6 out of 13
Pride Valencia,"3 BHK Apartment for Sale in Pride Valencia, Baner Pune",1200 sqft,₹1.80 Cr,"₹10,286 per sqft",9 out of 10
Sagitarius Bluegrass Residences,"3 BHK Apartment for Sale in Sagitarius Bluegrass Residences, Kalyani Nagar Pune",1164 sqft,₹2.10 Cr,"₹13,409 per sqft",5 out of 22
,3 BHK Apartment for Sale in JSPM College Road Pune,950 sqft,₹67 Lac,"₹5,154 per sqft",12 out of 30
,2 BHK Apartment for Sale in Dhayari Pune,669 sqft,₹49 Lac,"₹5,444 per sqft",11 out of 11
Sai Fortune,"2 BHK Apartment for Sale in Sai Fortune, Moshi Pune",655 sqft,₹51 Lac,"₹5,095 per sqft",8 out of 12
Nanded City,"2 BHK Apartment for Sale in Nanded City, Sinhgad Road Pune",950 sqft,₹1 Cr,"₹9,091 per sqft",10 out of 22
Codename Fireworks,"2 BHK Apartment for Sale in Codename Fireworks, Hadapsar Pune",824 sqft,₹89.5 Lac,"₹8,136 per sqft",12 out of 30
Tyagi Zenone,"2 BHK Apartment for Sale in Tyagi Zenone, Bhatewara Nagar, Hinjawadi Pune",777 sqft,₹85 Lac,"₹8,095 per sqft",8 out of 12
The Mpire Township,"1 BHK Apartment for Sale in The Mpire Township, Fursungi Pune",450 sqft,₹31.3 Lac,"₹4,971 per sqft",4 out of 7
Yashcon Neon,"1 BHK Apartment for Sale in Yashcon Neon, Viman Nagar Pune",337 sqft,₹53.5 Lac,"₹10,939 per sqft",
Gera World of Joy,"2 BHK Apartment for Sale in Gera World of Joy, EON Free Zone, Kharadi Pune",816 sqft,₹85 Lac,"₹6,800 per sqft",17 out of 22
The Balmoral,"3 BHK Apartment for Sale in The Balmoral , Baner Pune",1258 sqft,₹1.90 Cr,"₹10,857 per sqft",14 out of 33
Nanded City,"2 BHK Apartment for Sale in Nanded City, Sinhgad Road Pune",,₹91 Lac,"₹8,667 per sqft",10 out of 22
Elina Liva,"2 BHK Apartment for Sale in Elina Liva, NIBM Annexe Area Pune",822 sqft,₹77.2 Lac,"₹6,950 per sqft",10 out of 27
SURBHI MANGALAM,"2 BHK Apartment for Sale in SURBHI MANGALAM, Dhanori Pune",670 sqft,₹55 Lac,"₹5,998 per sqft",4 out of 7
Shriram society vadgaon sheri,"1 BHK Apartment for Sale in Shriram society vadgaon sheri, Wadgaon Sheri Pune",480 sqft,₹45 Lac,"₹5,294 per sqft",3 out of 3
Godrej River Royale,"3 BHK Apartment for Sale in Godrej River Royale, Mahalunge Pune",,₹2.50 Cr,"₹14,810 per sqft",8 out of 41
GPL Audumber,"3 BHK Apartment for Sale in GPL Audumber, Atul Nagar, Warje Pune",1279 sqft,₹1.30 Cr,"₹7,647 per sqft",5 out of 12
Rohan Mithila,"2 BHK Apartment for Sale in Rohan Mithila, Mhada Colony-Viman Nagar, Viman Nagar Pune",978 sqft,₹1.15 Cr,"₹11,500 per sqft",4 out of 6
Marvel Cascada,"4 BHK Apartment for Sale in Marvel Cascada, Laxmi Nagar Balewadi Pune",2300 sqft,₹3.90 Cr,"₹13,000 per sqft",12 out of 20
Kunal Aspiree,"3 BHK Apartment for Sale in Kunal Aspiree, Balewadi Pune",1250 sqft,₹1.55 Cr,"₹9,810 per sqft",2 out of 15
Hari Ganga,"3 BHK Apartment for Sale in Hari Ganga, Vishrantwadi, Airport Road Pune",1250 sqft,₹1.80 Cr,"₹11,613 per sqft",8 out of 11
,1 BHK Apartment for Sale in Viman Nagar Pune,410 sqft,₹51 Lac,"₹9,808 per sqft",5 out of 7
Abhimaan,"2 BHK Apartment for Sale in Abhimaan, Somatne Phata Pune",600 sqft,₹30 Lac,"₹3,641 per sqft",9 out of 14
,"3 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",890 sqft,₹86.3 Lac,"₹7,374 per sqft",2 out of 2
Megapolis Serenity,"2 BHK Apartment for Sale in Megapolis Serenity, Hinjawadi Pune",698 sqft,₹53.9 Lac,"₹4,830 per sqft",15 out of 19
Kolte Patil Downtown Xenia,"2 BHK Apartment for Sale in Kolte Patil Downtown Xenia, Kharadi Pune",,₹78 Lac,"₹7,919 per sqft",2 out of 5
Omkar Blossom,"2 BHK Apartment for Sale in Omkar Blossom, Kharadi Pune",550 sqft,₹37 Lac,"₹5,175 per sqft",4 out of 4
Yash Grecia,"3 BHK Apartment for Sale in Yash Grecia, Dhanori Pune",938 sqft,₹68 Lac,,5 out of 13
Eiffel City,"3 BHK Apartment for Sale in Eiffel City, Chakan Pune",661 sqft,₹36 Lac,"₹4,181 per sqft",1 out of 12
Amit Colori,"2 BHK Apartment for Sale in Amit Colori, Undri Pune",1031 sqft,₹43.2 Lac,"₹5,875 per sqft",5 out of 11
Dosti Greenscapes,"4 BHK Apartment for Sale in Dosti Greenscapes, Hadapsar Pune",1250 sqft,₹1.60 Cr,"₹10,000 per sqft",15 out of 22
VTP Dolce Vita,"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",709 sqft,₹73.5 Lac,"₹7,737 per sqft",3 out of 12
,2 BHK Apartment for Sale in Handewadi Road Pune,740 sqft,₹59.9 Lac,,6 out of 30
Mantri Lavendula,"3 BHK Apartment for Sale in Mantri Lavendula, Chandani Chowk, Bavdhan Pune",1300 sqft,₹1.40 Cr,"₹10,000 per sqft",4 out of 9
Malpani The Crest,"2 BHK Apartment for Sale in Malpani The Crest, Pimple Saudagar, Pimpri Chinchwad Pune",865 sqft,₹92 Lac,"₹8,311 per sqft",1 out of 7
Lodha Bella Vita,"2 BHK Apartment for Sale in Lodha Bella Vita, NIBM Road Pune",810 sqft,₹95 Lac,"₹8,636 per sqft",18 out of 21
Kolte Patil Ivy Estate,"1 BHK Apartment for Sale in Kolte Patil Ivy Estate, Wagholi Pune",,₹36 Lac,"₹5,143 per sqft",4 out of 12
Sukhwani Skylines,"2 BHK Apartment for Sale in Sukhwani Skylines, Bhumkar Nagar Wakad Pune",750 sqft,₹75 Lac,"₹7,143 per sqft",6 out of 14
VTP Solitaire,"3 BHK Apartment for Sale in VTP Solitaire , Pashan Pune",1075 sqft,₹1.48 Cr,"₹9,867 per sqft",11 out of 14
,2 BHK Apartment for Sale in Sun City Road Pune,1000 sqft,₹70 Lac,"₹5,263 per sqft",3 out of 4
Vertillas,"3 BHK Apartment for Sale in Vertillas, Kharadi Pune",1560 sqft,₹1.75 Cr,"₹8,329 per sqft",7 out of 21
Yashashree,"1 BHK Apartment for Sale in Yashashree, Katraj Pune",600 sqft,₹55 Lac,"₹8,029 per sqft",7 out of 12
,1 BHK Apartment for Sale in Pimpri Chinchwad Pune,400 sqft,₹33 Lac,"₹7,333 per sqft",2 out of 3
,1 BHK Apartment for Sale in Akurdi Pune,380 sqft,₹24 Lac,"₹5,769 per sqft",3 out of 4
Puranik Abitante,"1 BHK Apartment for Sale in Puranik Abitante, Bavdhan Pune",,₹48 Lac,"₹9,816 per sqft",11 out of 15
Lodha Bella Vita,"2 BHK Apartment for Sale in Lodha Bella Vita, NIBM Road Pune",,₹99 Lac,"₹12,162 per sqft",15 out of 28
Vishal Srushti,"1 BHK Apartment for Sale in Vishal Srushti, Kharadi Pune",600 sqft,₹40 Lac,,5 out of 6
Nyati Iris,"3 BHK Apartment for Sale in Nyati Iris, Kondhwa Pune",1100 sqft,₹83 Lac,"₹5,929 per sqft",Ground out of 12
Kumar Puram,"2 BHK Apartment for Sale in Kumar Puram, Mukund Nagar Pune",900 sqft,₹1.65 Cr,"₹15,714 per sqft",3 out of 7
Nyati Elysia,"2 BHK Apartment for Sale in Nyati Elysia, Kharadi Pune",824 sqft,₹1.05 Cr,"₹9,434 per sqft",Upper Basement out of 28
Casa Imperia,"2 BHK Apartment for Sale in Casa Imperia, Wakad Pune",750 sqft,₹72 Lac,"₹7,423 per sqft",1 out of 12
,1 BHK Apartment for Sale in Chakan Shikrapur Road Pune,460 sqft,₹16 Lac,"₹2,462 per sqft",Ground out of 4
Godrej Rejuve,"2 BHK Apartment for Sale in Godrej Rejuve, Keshav Nagar Mundhwa Pune",703 sqft,₹77 Lac,"₹9,059 per sqft",10 out of 21
Cosmos,"2 BHK Apartment for Sale in Cosmos, Magarpatta Pune",950 sqft,₹1 Cr,"₹9,524 per sqft",5 out of 10
Nivedita Terrace,"2 BHK Apartment for Sale in Nivedita Terrace, Wanowrie Pune",,₹91 Lac,"₹8,273 per sqft",3 out of 6
Kingston Aura,"2 BHK Apartment for Sale in Kingston Aura, Handewadi Pune",,₹45 Lac,"₹4,000 per sqft",10 out of 13
66 Gulmohar,"2 BHK Builder Floor for Sale in 66 Gulmohar, Baner Pune",674 sqft,₹95 Lac,,
La Tierra,"2 BHK Apartment for Sale in La Tierra, Siddheshwar Nagar, Tingre Nagar Pune",850 sqft,₹93 Lac,"₹8,942 per sqft",6 out of 11
ArcVista,"2 BHK Apartment for Sale in ArcVista, Dhanori Pune",800 sqft,₹65 Lac,"₹6,323 per sqft",9 out of 15
GK Aarcon,"2 BHK Apartment for Sale in GK Aarcon, Punawale, Pimpri Chinchwad Pune",,₹55 Lac,"₹8,333 per sqft",12 out of 14
Marvel Imperial,"4 BHK Apartment for Sale in Marvel Imperial, Boat Club Road Pune",3000 sqft,₹7 Cr,"₹17,073 per sqft",3 out of 3
SURBHI MANGALAM,"2 BHK Apartment for Sale in SURBHI MANGALAM, Dhanori Pune",,₹43.5 Lac,"₹5,716 per sqft",5 out of 8
VTP Urban Space,"4 BHK Apartment for Sale in VTP Urban Space, NIBM Road Pune",2500 sqft,₹2.25 Cr,"₹7,895 per sqft",2 out of 12
Acolade,"2 BHK Apartment for Sale in Acolade, Kharadi Pune",1250 sqft,₹97 Lac,"₹7,462 per sqft",2 out of 9
Pristine Prolife III,"2 BHK Apartment for Sale in Pristine Prolife III, Wakad Pune",750 sqft,₹82 Lac,"₹8,167 per sqft",3 out of 12
,2 BHK Apartment for Sale in Agarkar Nagar Pune,1095 sqft,₹2.23 Cr,"₹14,547 per sqft",5 out of 35
Bramha Sun City Phase 2,"3 BHK Apartment for Sale in Bramha Sun City Phase 2, Wadgaon Sheri Pune",1800 sqft,₹3 Cr,"₹13,953 per sqft",6 out of 9
Gagan MiCasaa,"1 BHK Apartment for Sale in Gagan MiCasaa, Wagholi Pune",530 sqft,₹30 Lac,"₹3,937 per sqft",3 out of 11
15 M STREET,"1 BHK Apartment for Sale in 15 M STREET, Rahatani Pune",520 sqft,₹49 Lac,,
Jasminum,"3 BHK Apartment for Sale in Jasminum, Magarpatta Pune",1300 sqft,₹2 Cr,"₹13,333 per sqft",11 out of 11
Rohan Mithila,"2 BHK Apartment for Sale in Rohan Mithila, Viman Nagar Pune",,₹1.30 Cr,"₹10,062 per sqft",6 out of 6
Legacy Aeo,"3 BHK Apartment for Sale in Legacy Aeo, Baner Pune",1325 sqft,₹1.90 Cr,"₹10,674 per sqft",9 out of 12
,3 BHK Apartment for Sale in Prabhat Road Pune,1296 sqft,₹2.70 Cr,"₹14,595 per sqft",7 out of 10
,"3 BHK Apartment for Sale in Dahanukar Colony, Kothrud Pune",1040 sqft,₹2 Cr,"₹14,245 per sqft",7 out of 7
,3 BHK Apartment for Sale in Kothrud Pune,1460 sqft,₹2.80 Cr,"₹12,727 per sqft",6 out of 6
Godrej Rejuve,"2 BHK Apartment for Sale in Godrej Rejuve, Keshav Nagar Mundhwa Pune",703 sqft,₹88 Lac,"₹8,980 per sqft",10 out of 19
K Raheja Gardens,"2 BHK Apartment for Sale in K Raheja Gardens, Wanowrie Pune",850 sqft,₹98 Lac,"₹9,423 per sqft",2 out of 7
Kolte-Patil Stargaze Platinum Series,"3 BHK Apartment for Sale in Kolte-Patil Stargaze Platinum Series, Mokai Vasti, Bavdhan Pune",1140 sqft,₹1.31 Cr,"₹8,188 per sqft",4 out of 14
The Orchard,"2 BHK Apartment for Sale in The Orchard, Satav Nagar Pune",700 sqft,₹40 Lac,"₹4,848 per sqft",5 out of 11
Marvel Fria,"3 BHK Apartment for Sale in Marvel Fria, Wagholi Pune",1250 sqft,₹1.25 Cr,,9 out of 12
Leisure Town,"1 BHK Apartment for Sale in Leisure Town, Hadapsar Pune",520 sqft,₹55 Lac,"₹8,462 per sqft",2 out of 12
Swastik Muhurtam,"1 BHK Apartment for Sale in Swastik Muhurtam, Mahalunge Pune",,₹31 Lac,"₹5,049 per sqft",2 out of 4
Gagan Adira,"2 BHK Apartment for Sale in Gagan Adira, Wagholi Pune",815 sqft,₹76 Lac,"₹7,238 per sqft",7 out of 14
V Top Valonia,"2 BHK Apartment for Sale in V Top Valonia, Punawale, Pimpri Chinchwad Pune",709 sqft,₹62 Lac,,4 out of 10
Mantra Monarch,"2 BHK Apartment for Sale in Mantra Monarch, Patil Nagar Balewadi Pune",790 sqft,₹91 Lac,"₹8,273 per sqft",10 out of 22
,2 BHK Apartment for Sale in Law College Road Pune,875 sqft,₹2.05 Cr,"₹17,826 per sqft",2 out of 6
Pristine Prolife,"3 BHK Apartment for Sale in Pristine Prolife, Wakad Pune",1250 sqft,₹1.30 Cr,"₹8,387 per sqft",10 out of 12
,2 BHK Apartment for Sale in Sahakar Nagar Tulshibagwale Colony Pune,1078 sqft,₹1.21 Cr,"₹10,083 per sqft",3 out of 6
Godrej Infinity,"2 BHK Apartment for Sale in Godrej Infinity, Sasane Colony, Mundhwa Pune",750 sqft,₹80 Lac,"₹7,333 per sqft",11 out of 22
Karia Konark Orchid,"3 BHK Apartment for Sale in Karia Konark Orchid, Wagholi Pune",1200 sqft,₹1.15 Cr,"₹6,970 per sqft",1 out of 12
Puravankara Purva Silversands,"2 BHK Apartment for Sale in Puravankara Purva Silversands, Mundhwa Pune",628 sqft,₹98.1 Lac,"₹12,259 per sqft",
El Homes,"2 BHK Apartment for Sale in El Homes, Baner Gaon, Baner Pune",650 sqft,₹79 Lac,"₹9,294 per sqft",6 out of 10
One North,"4 BHK Apartment for Sale in One North, Magarpatta Pune",,₹4 Cr,"₹11,955 per sqft",5 out of 15
Green City,"2 BHK Apartment for Sale in Green City, Hadapsar Pune",700 sqft,₹43.5 Lac,"₹4,677 per sqft",9 out of 11
Bramha SkyCity,"3 BHK Apartment for Sale in Bramha SkyCity, Dhanori Pune",850 sqft,₹73 Lac,"₹6,293 per sqft",6 out of 11
Destination Memoir,"1 BHK Apartment for Sale in Destination Memoir, Chikhali Pimpri Chinchwad Pune",596 sqft,₹55 Lac,"₹7,857 per sqft",6 out of 12
,"2 BHK Apartment for Sale in Pawar Industrial Area, Chikhali Pune",630 sqft,₹48 Lac,"₹4,800 per sqft",3 out of 9
Poorva Shrushti,"2 BHK Apartment for Sale in Poorva Shrushti, Sinhgad Road Pune",,₹72 Lac,"₹7,895 per sqft",8 out of 11
Bella Casa,"3 BHK Apartment for Sale in Bella Casa, Mohan Nagar Co operative Society Pune",1050 sqft,₹1.05 Cr,"₹7,363 per sqft",5 out of 11
Aura County,"1 BHK Apartment for Sale in Aura County, Wagholi Pune",470 sqft,₹34 Lac,"₹5,913 per sqft",4 out of 8
Sobha Nesara,"3 BHK Apartment for Sale in Sobha Nesara, Kothrud Pune",2490 sqft,₹3.30 Cr,"₹8,684 per sqft",10 out of 20
Panchshil Towers,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",1661 sqft,₹3.30 Cr,"₹14,392 per sqft",11 out of 31
,2 BHK Apartment for Sale in Warje Pune,781 sqft,₹1.05 Cr,"₹10,660 per sqft",2 out of 3
Kundan Kushal Nagar,"2 BHK Apartment for Sale in Kundan Kushal Nagar, Bopodi, Old Mumbai Pune-Highway Pune",956 sqft,₹49.5 Lac,,4 out of 6
Treedom Park,"3 BHK Apartment for Sale in Treedom Park, Alandi Road Pune",1051 sqft,₹93 Lac,"₹7,277 per sqft",6 out of 9
Aditya Sankruti,"2 BHK Apartment for Sale in Aditya Sankruti, Narhe Pune",799 sqft,₹62 Lac,"₹6,889 per sqft",4 out of 7
Address One,"2 BHK Apartment for Sale in Address One, Gahunje Pune",,₹42.8 Lac,"₹8,185 per sqft",1 out of 4
,2 BHK Apartment for Sale in Anand Nagar Mohammed Wadi Pune,750 sqft,₹47.7 Lac,"₹4,990 per sqft",4 out of 13
Kumar Prithvi H2,"1 BHK Apartment for Sale in Kumar Prithvi H2 , Kondhwa Pune",550 sqft,₹38 Lac,"₹5,630 per sqft",5 out of 6
Gloria Grace,"3 BHK Apartment for Sale in Gloria Grace, Bavdhan Pune",1038 sqft,₹1.25 Cr,"₹7,812 per sqft",8 out of 11
Tanish Pearls,"2 BHK Apartment for Sale in Tanish Pearls, Airport Road Pune",594 sqft,₹45 Lac,"₹5,814 per sqft",7 out of 12
Oxy Desire,"1 BHK Apartment for Sale in Oxy Desire, Wagholi Pune",473 sqft,₹27.9 Lac,"₹4,913 per sqft",9 out of 12
Iristo Gold,"1 BHK Apartment for Sale in Iristo Gold, Sambhagi Nagar Pune",406 sqft,₹17.3 Lac,"₹3,532 per sqft",4 out of 5
Navyangan,"1 BHK Apartment for Sale in Navyangan, Pirangut Pune",389 sqft,₹24.6 Lac,,8 out of 12
Venkatesh Graffiti,"3 BHK Apartment for Sale in Venkatesh Graffiti, Keshav Nagar Mundhwa Pune",1098 sqft,₹1.05 Cr,"₹7,778 per sqft",3 out of 11
,3 BHK Apartment for Sale in Bibwewadi Pune,1089 sqft,₹1.66 Cr,"₹11,045 per sqft",14 out of 14
,3 BHK Apartment for Sale in Narayan Peth Pune,,₹1.18 Cr,"₹13,889 per sqft",3 out of 5
